Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-10-25,69505.34,70478.83,69196.69,70221.81,37550930
2023-10-26,69412.37,70940.16,69208.07,70779.06,32215426
2023-10-27,70931.98,71087.37,70231.33,70290.31,27371918
2023-10-30,70656.6,71224.16,70567.93,71023.24,27720400
2023-10-31,71023.93,72112.37,70982.76,71582.26,40720259
2023-11-02,72332.75,72403.26,71411.24,71835.07,40304294
2023-11-03,71962.03,72741.95,71823.49,72473.24,36612346
2023-11-06,72798.91,73293.69,72529.2,72823.52,31708094
2023-11-07,72406.74,72915.74,71968.16,72266.7,32104071
2023-11-08,72169.58,72361.26,71350.73,71542.19,28238932
2023-11-09,71735.84,72411.6,71311.83,72411.6,32494391
2023-11-10,72224.52,72399.84,71396.24,71545.8,24859457
2023-11-13,71814.11,72157.29,71183.71,71199.05,32184246
2023-11-14,71526.53,74305.32,71435.85,74171.3,40613441
2023-11-15,74514.06,74960.59,73566.96,73688.49,46143018
2023-11-16,73786.39,74262.59,73475.23,73738.01,55470685
2023-11-17,73711.58,74154.71,73466.92,74091.85,35052829
2023-11-20,74207.14,75236.8,74060,74783.93,39183541
2023-11-21,74849.05,75287.7,74257.3,74711.48,32139874
2023-11-22,74733.54,74822.72,74332.29,74733.66,27902362
2023-11-23,74767.54,75081.51,74343.41,74444.82,25681531
2023-11-24,74515.04,74745.21,74256.62,74469.99,37006610
2023-11-27,74638.04,74638.04,73535.52,73969.84,34921100
2023-11-28,73931.7,75043.24,73918.24,75010.76,36816430
2023-11-29,74870.3,74870.3,74017.31,74512.08,55945913
2023-11-30,74456.44,74838.18,74264.07,74264.07,61768803
2023-12-01,74512.7,76319.05,74328.74,76319.05,38876377
2023-12-04,76286.69,76873.82,76145.09,76343.08,28206538
2023-12-05,76354.64,77373.26,76150.45,76867.53,35913122
2023-12-06,77105.86,77666.22,76885.85,77161.39,34862868
2023-12-07,76888.01,76888.01,75979.23,76516.02,29729671
2023-12-08,76839.13,77390.71,76839.13,77111.85,28128253
2023-12-11,77448.69,77728.84,77103.27,77389.38,27014260
2023-12-12,77756.77,77756.77,76635.25,76840.65,36384012
2023-12-13,76740.03,77201.81,76583.14,76948.6,31415984
2023-12-14,77647.8,77792.91,77274.31,77407.14,41472607
2023-12-15,77545.18,79011.65,77345.92,77647.1,91564735
2023-12-18,77748.44,78242.51,77620.67,78144.18,31402988
2023-12-19,78149.65,79162.26,78010.71,78742.72,35220082
2023-12-20,78889.22,79465.55,78405.48,78555.5,31088382
2023-12-21,78341.36,78840.93,78237.66,78723.4,34596165
2023-12-22,78560.6,78814.86,78409.07,78667.79,27003709
2023-12-27,78916.6,79460.94,78784.47,79246.98,37988715
2023-12-28,79451.43,79548.69,78935.53,78937.48,27448059
2023-12-29,78961.91,79159.47,78202.6,78459.91,37865674
